_id,username,current_document,query,check_one_gold,check_one_gold_reason,_golden
ObjectId(5a2a5e23e007d23be0ebdcc4),41S8KU,"If you drive a contemporary car, finding replacement auto parts is as easy. If you drive a classic car, however, finding parts becomes a challenge. Classic car owners often find that the parts they need are prohibitively expensive, or simply not available.  Here are few of the best places to look for car parts, new or used:
1 If your classic car was made by Chevrolet, you may be able to find bargain used car parts right from the Chevrolet website. 
2 The Used Car Parts Database is one of the most wide-ranging sites for finding used car parts for antique, vintage and classic cars. It serves as a directly of vendors, services and parts, all aimed at the classic car enthusiast.
3 Online One-Stop Auto Parts and Accessories retailers have high-performance used car parts whether you need new brake pads, headlights, or shock absorbers for your family car!",car parts,,,
ObjectId(5a2a5e23e007d23be0ebdcc8),DVCADA,"Looking for cheap internet service? There are plenty of companies offering low-cost or free Internet services for all comers. You can look for deals from the major ISPs, like Comcast that offers discount service for low-income families, or AT&T that have Internet plans for only 10$ per month with no data restrictions. Of course, some of those ISPs provide service with a catch. For example, you may have to accept time limits on your monthly browsing, go without high-speed access or pay a premium for it, and in some cases, service is only available in specific areas. AT&T for instance, increases the internet price per month to 30$ after the first six months. The telecom company FreedomPop, offers free internet but charges extra money if you exceed 1GB per month. There are many possible cheap internet plans, the key is to find one that fits your usage habits best.
",cheap internet,,,
ObjectId(5a2a5e23e007d23be0ebdcca),DVCADA,"The Bowflex Power Pro Home Gym is a very popular piece of home workout equipment that helps you create an actual gym in your own home. These fitness machines enable you to get a total body workout in as little as 20 minutes a day! Instead of weights, Bowflex uses long bending rods to add resistance to the exercise and provides as little as 5 or as many as 210 pounds of resistance. As a home fitness equipment, the Bowflex power pro offers a complete set up including detailed manuals containing exercises, demonstrations, a list of additional parts to complete your workout equipment and more.",bowflex power pro,,,
ObjectId(5a2a5e23e007d23be0ebdccc),QUGXT8,"Wilson has long been a trusted name in CB antennas. They have several types of antennas to offer, including the most popular magnet mount antennas on the market.
When it comes to magnet mount antennas, we typically recommend these. Wilson magnetic mount antennas include a strong magnet with a protective coating to protect your vehicle's finish, a high quality coax, and a base loaded coil with a steel whip that creates less drag and keeps the antenna upright.
The Little Wil magnet mount CB antenna is one of our most popular antennas. If you need something a little taller we also have the Wilson 1000 and 5000 antennas.  
Wilson fiberglass CB antennas are popular as well. They are similar to Firestik antennas and include a tuneable tip. 
They also have a unique grounding wire for situations were a high SWR cannot be remedied.
Considering the reasonable price, Wilson delivers a very quality product that performs just as advertised.
",wilson antenna,,,
ObjectId(5a2a5e23e007d23be0ebdcce),V0C3W0,"How to quit smoking cigarettes? There are many ways to quit smoking cigarettes and start a smoke-free life. The habit of smoking cigarettes is the leading cause of health risks. So how to quit smoking? Exercise interventions, therapies, e-cigarettes, nicotine replacement and other pharmacotherapies; the list of tools to stop smoking is huge and scientific researches investigate smoking cessation. How do we stop with tobacco? The ability to stop the habit of smocking depends on  individual factors: age, level of addiction... Psychological aspects of smoking are far more important to quitting than the physiological addiction to nicotine itself.",quit smoking,,,
ObjectId(5a2a5e23e007d23be0ebdccf),V0C3W0,"A mobile phone or cell phone is a portable telephone that can make and receive calls over a radio frequency link while the user is in a telephone service area. The radio frequency link establishes a connection to the switching systems of a mobile phone operator, which provides access to the public switched telephone network (PSTN). Modern mobile telephone services use a cellular network architecture, and mobile telephones are called cellular telephones or cell phones. 
In addition to telephony, new mobile phones support other services, such as text messaging, MMS, email, Internet access, wireless communications (infrared, Bluetooth), applications, games, and digital photography. Mobile phones offering only those capabilities are feature phones; mobile phones which offer advanced computing capabilities are smartphones.
",cell phones,,,
ObjectId(5a2a5e23e007d23be0ebdcd0),V0C3W0,"The SAT and SAT Subject Tests are designed to assess your academic readiness for college and is used by most colleges and universities to make admissions. These exams provide opportunities and scholarships, in a way that's fair to all students. The SAT and SAT Subject exams are measuring your skills. About SAT tests: The SAT exam is a college admission test. SAT Subject Tests can complement or enhance your college admission credentials. The SAT tests are offered several times a year, most students take the SAT during their junior year and during their senior year.",sat,,,
ObjectId(5a2a5e23e007d23be0ebdcd7),OA70ED,"BlueHost built its Web hosting management interface around the cPanel control panel, a truly really ugly and utilitarian system that is nonetheless the web hosting design industry standard today. cPanel is designed for pros who know what they're doing, and BlueHost offers little hand-holding if you need help gettong started (although the company promisses avetage thech support hold times of less that 30 seconds)/ But what BlueHost lacks in friendliness makes up for in exhaustiveness: With over 75 installations scripts at hand, you can point and click your wat to building just about any kind of website--blog, wiki, e-commerce--without a lot of fuss/ The service plan is unremarkable yet comprehenssive and--the big draw for mos BlueHost customers (includint this writer)--cheap/ Pro packages of web hosting design can reach 20$ a month, but most customers squeak by on the less-that-$4-per-month basic plan.",website design hosting,,,
ObjectId(5a2a5e23e007d23be0ebdcd8),OA70ED,"The island of Barbados is located at 13.4 degrees North and 54.4 degrees West, and is situated in the western area of the North Atlantic Ocean and 100 kilometers east of Windward Island and the Caribbean Sea. The Barbados island is seen by most scientists as geologically unique as it was formed as a result of an amalgamation of two land masses over a period of many years. The peaceful Arawaks and the more ferocious Caribs were the first inhabitants of Barbados. However, when Barbados English Captain, John Powell arrived at Barbados in 1625, the island was uninhabited and as a result, he claimed the Island of Barbados for King James I of England. Powel soon returned to England to put the necessary plans in the place and subsequently returned to Barbados in February of 1627 at the site which is known as Holetown.",barbados,,,
ObjectId(5a2a5e23e007d23be0ebdcda),8EF5WZ,"A mobile phone (cell phone, cellular telephone), is a portable telephone that can make and receive calls over a radio frequency link while the user is moving within a telephone service area. The radio frequency link establishes a connection to the switching systems of a mobile phone operator, which provides access to the public switched telephone network (PSTN). Modern mobile telephone services use a cellular network architecture, and, therefore, mobile telephones are called cellular telephones or cell phones. In addition to telephony, phones support a variety of other services, such as text messaging, MMS, email, Internet access, short-range wireless communications (infrared, Bluetooth, 4G LTE), business applications, video games, and digital photography. Mobile phones offering only those capabilities are known as feature phones; mobile phones which offer greatly advanced computing capabilities are referred as smartphones. There are feature and kosher phones",cell phones,,,
ObjectId(5a2a5e23e007d23be0ebdcdb),8EF5WZ,"Planning to stay for a night or for the week, New York area has accommodations to fit every need. Search for newyork hotels with Hotels.com by checking our online map. Our maps display the areas and neighborhoods around all New York hotels, so you can see how close you are from landmarks and attractions, and then refine your search within the larger area. The best New York hotel deals are here with our lowest price guarantee. 
New York City offers a wide range of accommodations to fit every taste: marquee hotels that reflect NYC bright lights, boutique hotels tucked away on charming side streets, family friendly stays close to parks and greenery. Whether you looking to visit nearby attractions, explore Hampton Madison Square Garden is the home of the New York Knicks, NY Rangers, bars, historic Penn Station",newyork hotels,,,
ObjectId(5a2a5e23e007d23be0ebdcdc),8EF5WZ,"The home should be a comfortable place to live, no matter its size. Resource Furniture offers a range of creative solutions for furniture small spaces, studio apartments, micro homes and other compact living spaces. Ideal for everyone from students to upscale urban professionals, our space-saving furniture is smart, stylish and forward-thinking.
The Benefit of Our Space-Saving Products No matter where you are in life, there are clear benefits to making the most of your existing space. With our space-saving furniture: Stretch your housing budget further (too often, city dwellers have to trade location for size, or vice versa), reduce clutter (Enjoy true, open concept living with furniture that folds when not in use), enjoy greater flexibility, minimize impact
Smart Furniture for All Stages of Life - Who can benefit from our space-saving modern furniture? City dwelling professionals, Growing families, Retirees",furniture small spaces,,,
ObjectId(5a2a5e23e007d23be0ebdce3),22IO1J,"Wilson has long been trusted name in CB antennas. 
They offer several antennas, the most popular magnet mount antennas.

Wilson magnetic mount antennas have  strong and heavy magnet with coating to preserve your car's finish and life-time, and  base loaded coil with a steel scourge that creates less drag, helps the antenna to be upright. 

Our popular antenna is Little Wil magnet mount CB antenna. 
When comes to magnet mount antennas, we recommend these.  
We have Wilson 1000, 5000 antennas, which are taller.

The Wilson fiberglass CB antennas also popular. They similar to Firestik antennas and include  tuneable tip. They also include unique grounding wire for some conditions were a high SWR cannot be remedied.

Our unique design means Wilson antennas will last in the most difficult  travels, no matter where you use them and in what situation. 
Wilson offers you CB antennas, CB antenna mounts, studs, cable and more accessories.
",wilson antenna,,,
ObjectId(5a2a5e23e007d23be0ebdce4),22IO1J,"Dieting is the practice of eating food in a regulated and supervised fashion to decrease, maintain, or increase body weight. A diet is often used by those who are overweight or obese.
Diets are also used to maintain a stable body weight and improve health. In particular, diets can be designed to prevent or treat diabetes, heart diseases and different types of cancer.
You sould check your Body Mass Index (BMI).
Diets used to maintain a stable body weight and improve health. Diets to promote weight loss can be categorized as: low-fat, low-carbohydrate, low-calorie and more recently flexible dieting. 
Dieters must eat fewer fats, sugars and carbohydrates but more vegetables, fruits and proteins.
Most effective diet is any which reduces calorie consumption.
In your diet, make physical activities such as swimming, aerobic exercises, yoga and plates.
Remember that even a small amount of weight loss can lead to big health benefits.


",dieting,,,
ObjectId(5a2a5e23e007d23be0ebdce6),O5TA9W,"Most of us will buy health insurance and insurance for home, car and other property replacement. However, few people think to buy long-term care insurance, and assume that their savings will be sufficient to meet any associated expenses. In fact, long-term care can be very expensive and can deplete a lifetime of savings within a few years. When you purchase long-term care insurance, you must pay attention to what the policy covers. For instance: Inflation protection, Deductible, Coverage, Period of coverage.
Here are the major companies selling long-term care insurance to individuals today: Genworth, Transamerica, MassMutual and many others. Under most policies, you'll have to pay for long-term care services for a certain amount of time, such as 30, 60 or 90 days, before the insurer starts reimbursing you for any care. Talk to a financial advisor about whether buying long-term care insurance is the best option.",best long term care insurance,,,
ObjectId(5a2a5e23e007d23be0ebdce7),O5TA9W,"PokerStars hosts the biggest guaranteed online poker tournament in the virtual universe every Sunday - the Sunday Million! Every week the highlights of the Sunday Million are available on PokerStars.tv.
If you want the most bang for your buck and the biggest opportunity to win the biggest payday of the week, playing the Sunday Million is a must. 
The main event though, is the World Series of Poker - without a doubt, this is the most prestigious poker tournament in the world. Amateurs and pros turn out in full force to compete with one another for millions of dollars. If you're a poker player, playing the WSOP is certainly on your bucket list.
In South America, the biggest and most eminent poker tournament is the LAPT (Latin America Poker Tournament). If you're thinking about going to South America, this is a perfect tournament for both poker and pleasure.",poker tournaments,,,
ObjectId(5a2a5e23e007d23be0ebdce8),O5TA9W,"Fringed by white sandy beaches, sapphire seas and colourful coral reefs, Barbados is the archetypcal Caribbean retreat. First time visitors can be forgiven for heading straight for the sand.
Barbados is endowed with 113KM of glorious beaches, which rance from calm coves to surf-pounded shorelines. Most tourists flock to the Platinum Coast to the west, which is lined with luxury resorts, spa hotels and sophisticated restaurants.
While it's justifiably famed for its fantastic beaches, Barbados is an island that has it all. In addition to fine powdery sand and brilliant turquoise bays, you'll find smashing nightlife, a Unesco World Heritage-listed capital, a beautiful interior dotted with gardens, and wild surf on the lonely east coast, all inhabited by a proud and welcoming populace.
Barbados is located in the Atlantic and is 483km north of Venezuela. Barbados is only 34km long and 23km wide, at its widest point.",barbados,,,
ObjectId(5a2a5e23e007d23be0ebdce9),RG9N1V,"The SAT and SAT Subject Tests are designed to assess your academic readiness for college and is used by most colleges and universities to make admissions. The SAT exams provide opportunities, financial support and scholarships, in a way that's fair to all students. The SAT and SAT Subject exams are measuring your skills. The SAT exam is a college admission test, and is taken once a year.  The SAT  Subject tests are offered several times a year. Most students take the SAT during their junior year and during their senior year. 
The SAT exam is taken after all students sat at there places, and are ready to begin the test. First, the teacher explain general inforamtion like what SAT stands for - Scholastic Assessment Test. ",sat,,,
ObjectId(5a2a5e23e007d23be0ebdcea),RG9N1V,"Toilets are sanitation facilities at the user interface that allow safe and convenient urination and defecation , collection or disposal of human urine and feces. Toilets usually have two parts, a tank and a bowl. The tank part is used for aggregate water and the bowl is used for your urine and feces.
At the past toilets were rare and not in every home but these days most houses have at least one or more toilet rooms. There are few methods to clean yourself after you have been at the toilets, some are based on water while others are based on toilet paper which is unique because it dissolved on water.  ",toilet,,,
ObjectId(5a2a5e23e007d23be0ebdceb),RG9N1V,"Sewing instructions are not the simple to describe, yet sewing itself is a simple task once you will understand the following instructions.  
There are two main ways to thread your hand sewing needle and both are good for different techniques: 
Single thread: thread your needle but knot only one end so that the other is free to come unthreaded - this is especially useful for embroidery techniques where you might need to quickly and easily unpick a few stitches. 
Double thread: thread your needle and knot both ends together - the doubled up thread will make for a more secure stitch, but is impossible to unpick without cutting the thread and starting over! Good for gathering or ruching fabric to make gathered skirts, basting seams and stay stitching a curved edge to prevent it from stretching. A running stitch looks exactly the same on both sides of the fabric.",sewing instructions,,,
ObjectId(5a2a5e23e007d23be0ebdcec),M1HVGL,"At CarParts.com you won't find high prices! We supply auto part and used car parts with great discounts for any vehicle at a very high quality. Via our website you can find recycled parts or systems by model, year of any other detail. We also offer old parts for antique models and collectible cars - all at fair costs.
We guarantee the cleanness, testing of all parts in stock.",car parts,,,
ObjectId(5a2a5e23e007d23be0ebdced),M1HVGL,"French Lick Casino is a 51,000 square foot grand gaming facility with historical value. The French Lick Casino also has 1,000 new Slots, video poker, 37 table games and the guests can even win a brand new car at roulette. Bring a group of your best friends and grant them all the memorable experiences and high quality service the casino has to offer. Besides gambling, the French Lick resort offers golf courses, spas and four starred hotels to book your stay in.",french lick resort casino,,,
ObjectId(5a2a5e23e007d23be0ebdcee),M1HVGL,"Bowflex Power Pro Home Gym is a popular fitness machine that helps you exercise better. With Bowflex Power Pro you have the complete set of exercising equipment you need. From bending rods as weights, leg press belt and squat attachments you have it all. So instead of paying for a subscription at the local gym, buy the Bowflex Power Pro and start to workout for free. It gives you full body workout in less than 20 minutes - and it folds easily! Buy today with a discount instead of paying the full price of 2,500$.",bowflex power pro,,,
ObjectId(5a2a5e23e007d23be0ebdcf0),YHSRWR,"Bluehost- the best web, built its interface around the cPanel control panel, a truly ugly and utilitarian system that is nonetheless the industry standard today. cPanel is for pros who know what they're doing, and Bluehost offers little hand-holding if you need help getting started (although the company promises average tech support hold times of less than 30 seconds). But what Bluehost lacks in friendliness it makes up for in exhaustiveness: With over 75 installation scripts at hand, you can point and click your way to building just about any kind of blog, wiki, e-commerce, without a lot of fuss.",website design hosting,,,
ObjectId(5a2a5e23e007d23be0ebdcf1),YHSRWR,"Don't worry! It's not difficult to build your fence by yourself! You can use an internet guide or a YouTube video to install a DIY fence for your house, and give yourself the privacy and the view you're seeking. You can read about it on DiyNetwork(""http://www.diynetwork.com/how-to/outdoors/structures/10-things-you-must-know-about-installing-a-fence-pictures"") or on WikiHow(""https://www.wikihow.com/Build-a-Wood-Fence""). If you're looking to increase home security build a fence! Our new fencing system is the easiest way to build the fence of your dreams. A new generation of build it yourself fence kits with easy building instructions make enclosing your back yard and garden an effortless task. It couldn't be simpler to build this fence! The fence Authority offers the EZ Fence 2 Go system in vinyl, aluminum and wood- for those who are looking for building rustic fence.",build fence,,,
ObjectId(5a2a5e23e007d23be0ebdcf2),6FQC0C,"Supportive housing programs offer low-cost housing to older people with low to moderate incomes. The Federal Department of Housing and Urban Development (HUD) and State or local governments often develop such housing programs. A number of these facilities offer help with meals and tasks such as housekeeping, shopping, and laundry. Residents generally live in their own apartments.
Continuing care retirement communities (CCRCs) provide a full range of services and care based on what each resident needs over time. With this policy, you can save money from the beginning of your career for your retirement. 
Nursing homes offer care to people who cannot be cared for at home or in the community. They provide skilled nursing care, rehabilitation services, meals, activities, help with daily living, and supervision. Many nursing homes also offer temporary or periodic care. Please have careful look on all the options before agreeing to a long term care insurance. 
",best long term care insurance,,,
ObjectId(5a2a5e23e007d23be0ebdcf3),6FQC0C,"There exists many providers, but one is above the others because how it broke the market. Free provides internet phone services in France. It enables you to call, text and use internet unlimited across all Europe, USA and Israel.  You can call mobile and home phones and get 3G and 4G. All these services for only 20$ a month. It was the first provider to adopt this kind offer in France at a price that low. It is great when you travel, it makes you save a lot money. It is partnered with Cellcom in Israel, one of the few israeli provider. 
Moreover, it is really easy to subscribe on their website in few minutes. Do not hesitate to  have a look and test their internet phone services. 
",internet phone service,,,
ObjectId(5a2a5e23e007d23be0ebdcf4),6FQC0C,"Full stack web developer:
Description: This position often involves developing everything from the user interface (UI) to the backend systems.
Requirements: This position often requires that the individual has a good knowledge in software development. 
Programmer or Software developer:
Description: A job that requires the development or continued development and maintenance of a software program.
Requirements: A basic to extensive understanding of a programming language. Because most job positions require the ability to help develop a program, they require several years of experience or a degree.
Security expert:
Description: Test and find vulnerabilities in a system, hardware device, or software program.
Requirements: This position is for someone who has a strong familiarity with how software, hardware, and networks work and how to exploit them. Often, you need to have a good understanding of how the overall system works as well as good programming skills. There is an ever increasing demand for all kind of developers thanks to the computers power. 
",computer programming,,,
ObjectId(5a2a5e23e007d23be0ebdcfe),413CV9,"Doggy Bag Inc. make the highest quality, most durable and lightweight dog waste clean-up bags, perfect for your pup!
Walking your dog in the park is much more enjoyable when you can easily clean up after it, avoiding uncomfortable situations, fines and penalties.
Order your 100 piece Doggy clean-up bags Premium Pack only for $10 today on our online store, and receive a free dog walking leash with a special compartment for storing your Doggy Bag cleaning bags, so you will always be ready to clean up after your dog.
With Doggy Bag Inc., your dog will be happier, you will be happier and the environment will be so much cleaner!",dog clean bags,,,
ObjectId(5a2a5e23e007d23be0ebdcff),413CV9,"PokerMania is the number 1 annual international online poker competition, which is the highlight of the online poker community!
Only the top 100 ranked professional poker players qualify for the PokerMania tournament, by competing in online regional tournaments throughout the year.
The tournament games are broadcast live on the PokerMania website on a daily basis, and the games schedule runs for over a month.
In each round 100 players are split to 4 groups of 25 players each, and only the top 10 players in each group qualify for the next round.
The finals take place in Las Vegas on the 4th of July, with worldwide live TV coverage broadcast online and the tournament winner receives a prize of 100 million dollars in cash!",poker tournaments,,,
ObjectId(5a2a5e23e007d23be0ebdd00),413CV9,"Toilet World Inc. offer a wide range of toilets to match your particular plumbing needs and bathroom facilities.
Our toilets come in all shapes, sizes and configurations, made of high quality materials such as porcelain, stainless-steel, stone, wood and plastic.
You are invited to browse our extensive online catalog of different types of toilet pipes, valves, seats, water tanks and bowls, to create your own personalized toilet!
Order now, and our professional plumbers will install the toilet of your choice in your bathroom, dealing with all the necessary plumbing and tiling work free of charge!
We even provide toilet maintenance and cleaning services as well as supplies, to keep your toilet and bathroom spotless and functional!
In the unfortunate event where your toilet gets clogged or broken, don't worry, contact our customer services and we will assist you to unclog it, and even come fix it for you if needed!",toilet,,,
ObjectId(5a2a5e23e007d23be0ebdd01),AKQHO6,"Verizon Wireless is the largest cell phones and telecommunications provider in America. Selling all the range of cellular products available on the market. From simple Cell phones and feature phones to most HiTech Smartphones, Cellular communication modems and mobile phones. Verizon also responsible for the largest 4G Cellular network which supports all the cell phones and other mobile and wireless devices available. One Cellular antenna creates a cell which can support up to 10K Cellular devices, since the average person today owns at least one Cellular device, the number of antennas increases dramatically in urban areas the population density grows and each person has at least a Cell phone (or a smartphone) and usually other Cellular communication devices. The company is even mentioned on https://en.wikipedia.org/wiki/Mobile_phone",cell phones,,,
ObjectId(5a2a5e23e007d23be0ebdd02),AKQHO6,"Furnishing a small Condo is more about designing the space rather than just buying new furnitures. With some basic design tips you can furnish even the smallest spaces. Although some furnitures are often sacrificed for a spacious design, planning of the acquired furnitures ahead can go a long way in the design of a small apartment. Choose small furnitures over big ones, modular couch over a sofa. You can find space saving furniture in IKEA and make your apartment look like it is right out of a designer's catalogue.",furniture small spaces,,,
ObjectId(5a2a5e23e007d23be0ebdd03),AKQHO6,"The Body Mass Index (BMI) - is an indicator of body fat. Some people believe that a Diet is the way to improve the BMI, though recent researches show that a diet is not the best way to lose or maintain weight. Dieting is simply the practice of eating food in a regulated and supervised fashion. The right way to go is combining a good diet with physical workout. Dieting can be hard, especially if your diet consists of a low variety of food. Therefore before starting a diet make sure to see a professional dietitian, together you can build a dieting program that will have all the fat and nutrients your body needs, and will help you get in shape.",dieting,,,
ObjectId(5a2a5e23e007d23be0ebdd04),5WM9S0,"Today we will recommend and provide information about where you could buy a new or used trombone, and good places to sell a used trombone. Trombones are a well known and loved musical instrument. Buying an unused trombone can be quite expensive, and for beginners there are many used trombones in excellent condition. Obviously you can buy a new trombone in music instrument stores, but a wiser step would be checking outlet stores (factory outlet) first, as prices tend to be lower. As for used trombones, you can first check prices online and order a trombone from a trusted retailer if you find a good deal or sale. We recommend searching for nearby garage sales, hang an ad in your neighborhood and also checking musical instrument stores for used or slightly defected trombone. If you wish to sell your old, unused or uneeded trombone, you can publish an ad on Facebook, eBay or other famous second hand websites.",trombone sale,,,
ObjectId(5a2a5e23e007d23be0ebdd06),5WM9S0,"Computer programmers have many types of careers available for them and can work as: Application Programmers, System Programmers, Web Programmers, Software Developers, Security Software Developers and many more. You can find online computer programming tutorials in websites such as MIT open courseware, Code Academy, Khan Academy, Coursera etc. Your chances of getting a job as computer programmer will increase if you earn a bachelor's degree in computer science. Computer science degree programs include fundamentals of computer programming as well as the mathematical and scientific principles that provide the underpinnings. Discrete math, computer organization and architecture, algorithms, programming and software design are also learnt thoroughly. The average annual wage for a computer programmer is 61,000 USD. Examples of computer programming languages: JavaScript, Python, Java, Ruby, PHP, C++, CSS, C#, Go, C.",computer programming,,,
ObjectId(5a2a5e23e007d23be0ebdd0a),XCD8FL,"Pressure washers or power washers are your solutions if you need to remove any kind of dirt from any surface type using air-pressure. Pressure washing is commonly used to remove loose paint, grime, mud and dirt from buildings, vehicles and concrete surfaces. There is a great variety of pressure-washers in different sizes and water pressure levels, from as low as 5,000 psi for small cleaning jobs, and up to 25,000 psi (170 MPa) for industrial cleaning applications. Pressure washers differ by the type of fuel/energy they consume - electric, diesel, gas or hydraulic high pressure. For small cleaning tasks, you could use an electric-powered washer which can be found in home retail stores. With the appropriate adapter, most pressure washers can connect to an external source, like a garden hose. The most popular pressure washer replacement parts include pumps, adapters, extension hoses, pressure regulators and spray tips.",pressure washers,,,
