_id,username,posted_document,query,check_one_gold,check_one_gold_reason,_golden
ObjectId(5a2a5e23e007d23be0ebdcbd),XRN1VX,"
The island of Barbados is located at 13.4ºN and 54.4ºW and is situated in the western area of the North Atlantic Ocean and 100 kilometres east of the Windward Islands and the Caribbean Sea. The island is seen by most scientists as geologically unique as it was formed as a result of an amalgamation of two land masses over a period of many years. The peaceful Arawaks and the more ferocious Caribs were the first inhabitants of Barbados. However, when English Captain, John Powell arrived in 1625, the island was uninhabited and as a result he claimed it for King James I of England. Powell soon returned to England to put the necessary plans in place and subsequently returned to Barbados in February of 1627 at the site which is now known as Holetown. 
",barbados,,,
ObjectId(5a2a5e23e007d23be0ebdcbe),XRN1VX,"
First things first - there are two main ways to thread your hand sewing needle and both are good for different techniques: 
Single thread: thread your needle but knot only one end so that the other is free to come unthreaded - this is especially useful for embroidery techniques where you might need to quickly and easily unpick a few stitches.
Double thread: thread your needle and knot both ends together - the doubled up thread will make for a more secure stitch, but is impossible to unpick without cutting the thread and starting over!
Good for gathering or ruching fabric to make gathered skirts, basting seams and stay stitching a curved edge to prevent it from stretching. A running stitch looks exactly the same on both sides of the fabric.
",sewing instructions,,,
ObjectId(5a2a5e23e007d23be0ebdcbf),3EQ02Q,"
This paper compares the precision and accuracy of five current global positioning system (GPS) receivers—Trimble ProXR, Trimble GeoXT without WAAS, Trimble GeoXT with WAAS, Trimble GeoExplorer II, and an HP/Pharos receiver. Each of these receivers, along with other similar units, are 
frequently used today for data collection and integration within a geographic information system (GIS).  
To compare receivers, we conducted a field study of 15 established survey markers in the City of Pocatello, Idaho. The points were observed on ten different dates with equivalent settings (e.g., averaging and acceptable point dilution of precision—PDOP). Overall, the results indicate that the GeoXT is well suited where sub-meter accuracy is required while the Pharos receiver is a viable alternative for applications with accuracy requirements of +/- 10m and more
",gps,,,
ObjectId(5a2a5e23e007d23be0ebdcc0),3EQ02Q,"Looking for hotel in New York? Want to stay Specifically in Manhattan? What about being close to one of the most famous sport arenas in the world-the Madison Square Garden? If your answer is yes we can help you. We can offer some really great hotels in a decent budget, so you can spend your time at the heart of New York without regrets. In this area you can find all you need- great bars, fancy restaurants, museums and the most famous place in NY- the great Central Park. This is not all- if you are just looking for a quick weekend in the big apple we can help you plan you time wisely. Our guides would like to escort you all the way from JFK to Madison Square Garden through ground zero- everything you need for an incredible vacation in New York.",newyork hotels,,,
ObjectId(5a2a5e23e007d23be0ebdcc1),3EQ02Q,"Want to stop smoking and don't know how? Do people are staying two meters away of you because of the smell? Worried about lungs cancer? Well, it sounds like you need some help. But maybe this kind help can be inherent and it only depends on you. Try to make a list of the pros and cons of being  a smoker. do things look clearer now? According to research that was made in the Clinical Psychiatric Research Center at George Washington University making such a ""for and against smoking"" list can be very efficient as it clarify to you the things that really matter. It's never late to make an extreme change and drop all the cigarettes. The awareness to all the things cigarettes and smoking make you loose can do some miracles. good luck!",quit smoking,,,
ObjectId(5a2a5e23e007d23be0ebdcc2),41S8KU,"An elliptical trainer or cross-trainer is a stationary exercise machine used to simulate stair climbing, walking, or running without causing excessive pressure to the joints, hence decreasing the risk of impact injuries. Elliptical trainers offer a non-impact cardiovascular workout that can vary from light to high intensity based on the speed of the exercise and the resistance preference set by the user.

Elliptical trainers first entered the market in the 1990s, invented by Precor.
Elliptical trainers are an example of a weight-bearing form of exercise. They can be self-powered by user-generated motion or need to be plugged in for adjustment of motion and/or for supplying their electronic consoles and resistance systems.
Elliptical machines range in price from around $100 to well over $1000. ",elliptical trainer,,,
ObjectId(5a2a5e23e007d23be0ebdcc3),41S8KU,"
No matter what your budget, a chic, high-end wedding can be yours without sacrificing a single iota of style.
Guest List: Invite 100 guests instead of 150 (save on everything). Do the math: If your wedding comes to $100 per person for food and drink, cutting your list from 150 to 100 saves $5,000.
Wedding Style: The less formal the affair, the more affordable. Instead of a sit-down dinner, go for a casual brunch or barbecue. Get rental cars in lieu of limos.
Wedding Invitations: Keep the wedding invitations simple. Remember, top-quality paper, fancy typography techniques and custom-colored inks increase the price, as do decorative envelope linings and multiple enclosures. Choose one fabulous element and keep all the rest simple. Use response postcards or make save-the-date cards yourself. To keep postage costs down, stay away from oversize or overweight styles.
",wedding budget calculator,,,
ObjectId(5a2a5e23e007d23be0ebdcc4),41S8KU,"
At ASM Auto Recycling we proudly supply almost any used car parts for any vehicle – and to anywhere in the world! We boast a growing used car parts department which currently stocks over 250,000 guaranteed recycled car parts. All of our recycled car parts are cleaned, tested and covered by our 90-day guarantee. This simply provides customers with peace of mind when fitting used engines or any other car parts to either their own vehicles or damage-repairable vehicles that you may purchase from our online salvage auction. We currently house over 2,000 salvage cars suitable for car parts breaking, ranging from 1991 Polos to 2011 Porsches. If you would like to enquire about our used vehicle parts simply choose one of the following two options: Phone our used car parts sales team directly on 01844 268 940 , or Complete and e-mail the adjacent Parts Enquiry Form. 
",car parts,,,
ObjectId(5a2a5e23e007d23be0ebdcc5),3AP15F,"There are many ways to buy a trombone, all you need is to decide if you prefer a new or used instrument. There are many used trombones in excellent condition that can be found in a variety of locations: music instrument stores in the used section, pawn shops or other resale stores, sometimes at estate or yard sales. Online you can easily purchase a used trombone from an individual seller through many shopping websites such as eBay, amazon, etc. If you decide to buy online, be sure to ask about the condition of the trombone and its moving parts which are vital when playing the instrument. New trombones can be found in music instrument stores that sell brass instruments, and online in music seller websites. Purchasing a new trombone will probably be more expensive but the quality is guaranteed.",trombone sale,,,
ObjectId(5a2a5e23e007d23be0ebdcc6),3AP15F,"Solar panels absorb the sunlight as a source of energy to generate electricity or heat.
Grid-connected solar photovoltaics (PV) is the fastest growing energy technology in the world, with 50% annual increases in cumulative installed capacity in 2006 and 2007, to an estimated 7.7 GW. This translates into 1.5 million homes with rooftop photovoltaics feeding into the electricity grid worldwide. The most common application of solar panels is solar water heating systems. During 2007, investment in new solar photovoltaic manufacturing facilities was strong in Europe, Japan, China, Taiwan and the United States, with many new operations reported. Since October 2009, the Canadian province of Ontario is currently leading the way in North America with this comprehensive renewable energy incentive using solar panels.
Photovoltaics companies include PV capital equipment producers, cell manufacturers, solar panel manufacturers and installers. The list does not include silicon manufacturing companies.
",solar panels,,,
ObjectId(5a2a5e23e007d23be0ebdcc7),3AP15F,"What are the best ways you can quit smoking? Not sure how to quit smoking? Are you ready to quit smoking?
There are many ways to quit smoking cigars, cigarettes and etc.
The best way is to make an honest list of all the things you like and dislike about smoking. Then draw a line down the center of a piece of paper and write them on one side; on the other side make a list of all the things you dislike and cause you to think about quitting smoking, such as how it can interfere with your health, work, family, etc. Think about the list over time, and make changes. If you are brave enough, get feedback from family and friends about things they donate like about your use of cigarettes. When the negative side outweighs the positive side, you are ready to quit smoking!",quit smoking,,,
ObjectId(5a2a5e23e007d23be0ebdcc8),DVCADA,"Looking for cheap internet service? There are several companies offering low-cost or free Internet services, depending on where you live and your financial situation.  If you are a light Internet user and you live in their service area, free high-speed Internet is available through the telecom company FreedomPop. You will only need to purchase a modem, plug it in and connect to the internet. Also, there are several service providers like Comcast and AT&T that offer Internet plans for only 10$ per month with no data restrictions. Notice that usually after six months the price increases and data restrictions will be added.  Another strategy to get cheaper high-speed Internet is to combine, or bundle it together with your TV and/or phone service. Regarding financial situation, if your income is low enough, there are a number of government supported programs that offer cheap Internet services for low-income families.
",cheap internet,,,
ObjectId(5a2a5e23e007d23be0ebdcc9),DVCADA,"Pressure washing, or power washing is your solution if you need to remove any kind of dirt from any surface type. Pressure washers are commonly used to remove loose paint, grime, mud and dirt from buildings, vehicles and concrete surfaces. There is a great variety of pressure washers in different sizes and water pressure levels, from as low as 5,000 psi (34 MPa) for small cleaning jobs, and up to 25,000 psi (170 MPa) for industrial cleaning applications. Pressure washers differ by the type of fuel/energy they consume - electric, diesel, gas or hydraulic high pressure. For small cleaning tasks, you could use an electric powered washer which can be found in home retail stores. With the appropriate adapter, most pressure washers can connect to an external water source, like a garden hose. The most popular pressure washer replacement parts include pumps, adapters, extension hoses, pressure regulators and spray tips.
",pressure washers,,,
ObjectId(5a2a5e23e007d23be0ebdcca),DVCADA,"The Bowflex Power Pro Home Gym is a very popular piece of home workout equipment. Instead of weights, Bowflex uses long bending rods to add resistance to the exercise and provides as little as five or as many as 210 pounds of resistance. As a home fitness equipment, the Bowflex power pro offers a complete set up including power rods, lat tower with lat pull down bar, leg press belt, leg extension/leg curl and squat attachments. All these enable you to get a total body workout in as little as 20 minutes a day, and to gain muscle mass every time you exercise. Also, it folds easily to a compact size and includes transport wheels, so you can store it anywhere in the house. The prices of the Bowflex power pro vary between 400$ for a used piece and up to 2,500$ for the newest models.
",bowflex power pro,,,
ObjectId(5a2a5e23e007d23be0ebdccb),QUGXT8,"Looking for cheap Internet service? You can look for deals from the major ISPs, like Comcast's that offers discount service for low-income families,
There are plenty of options for cheap internet and even free service to all comers.
Of course, some of those ISPs provide service with a catch such as: you may have time limits or volume on your monthly browsing, no high-speed access or pay a premium for it,
and in the case of some offers, service is only available in specific regions.
For example FreedomPop offers free 1GB per month, but then charges 10$ for each 5GBs extra.
Another example is EveryoneOn which is an organization dedicated provide affordable computers and access to the internet.It is able to offer options of home Internet service for $10 or less a month.
Cheap internet is available, it's a matter of usage properties and how much you will be settled for.
",cheap internet,,,
ObjectId(5a2a5e23e007d23be0ebdccc),QUGXT8,"Wilson has long been a trusted name in CB antennas. They have several types of antennas to offer, including the most popular magnet mount antennas on the market.
When it comes to magnet mount antennas, we typically recommend these. Wilson magnetic mount antennas include a strong magnet with a protective coating to protect your vehicle's finish, a high quality coax, and a base loaded coil with a steel whip that creates less drag and keeps the antenna upright.
The Little Wil magnet mount CB antenna is one of our most popular antennas. If you need something a little taller we also have the Wilson 1000 and 5000 antennas.  
Wilson fiberglass CB antennas are popular as well. They are similar to Firestik antennas and include a tuneable tip. Considering the reasonable price, Wilson delivers a very quality product that performs just as advertised.
",wilson antenna,,,
ObjectId(5a2a5e23e007d23be0ebdccd),QUGXT8,"Dieting is the practice of eating food in a regulated and supervised fashion to decrease, maintain, or increase body weight.
In other words, it is conscious control or restriction of the diet. A restricted diet is often used by those who are overweight or obese, sometimes in combination with physical exercise, to reduce body weight.
Some people follow a diet to gain weight (usually in the form of muscle). Diets can also be used to maintain a stable body weight and improve health. In particular, diets can be designed to prevent or treat diabetes.
Diets to promote weight loss can be categorized as: low-fat, low-carbohydrate, low-calorie, very low calorie and more recently flexible dieting.
Check your Body Mass Index (BMI) - an indicator of body fat - and see where it fits within the BMI categories.
To lose about 1 pound per week, subtract 500 calories each day from the daily amount.",dieting,,,
ObjectId(5a2a5e23e007d23be0ebdcce),V0C3W0,"Not sure how to quit smoking cigarettes? There are many ways to stop smoking and start a smoke-free life. Smoking cigarettes is the leading cause of health risks as premature death and disability. So how to quit smoking? Exercise interventions, all sorts of therapies, e-cigarettes, nicotine replacement and other pharmacotherapies; the list of tools to stop smoking is huge. Scientific researches investigate smoking cessation. How do we stop with tobacco? The ability to stop the habit of smocking will vary depending on  individual factors: age, level of addiction...
Psychological aspects of smoking and stages of behavior change are far more important to quitting than the physiological addiction to nicotine itself.",quit smoking,,,
ObjectId(5a2a5e23e007d23be0ebdccf),V0C3W0,"A mobile phone or cell phone is a portable telephone that can make and receive calls over a radio frequency link while the user is moving in a telephone service area. The radio frequency link establishes a connection to the switching systems of a mobile phone operator, which provides access to the public switched telephone network (PSTN). Modern mobile telephone services use a cellular network architecture, and mobile telephones are called cellular telephones or cell phones. 
In addition to telephony, new mobile phones support other services, such as text messaging, MMS, email, Internet access, short-range wireless communications (infrared, Bluetooth), applications, games, and digital photography. Mobile phones offering only those capabilities are feature phones; mobile phones which offer greatly advanced computing capabilities are smartphones.
",cell phones,,,
ObjectId(5a2a5e23e007d23be0ebdcd0),V0C3W0,"The SAT and SAT Subject Tests are designed to assess your academic readiness for college and is used by most colleges and universities to make admissions. These exams provide opportunities, financial support, and scholarships, in a way that's fair to all students. The SAT and SAT Subject exams are measuring your skills. The SAT exam is a college admission test. SAT Subject Tests can complement or enhance your college admission credentials. The SAT tests are offered several times a year, most students take the SAT during their junior year and during their senior year.

",sat,,,
ObjectId(5a2a5e23e007d23be0ebdcd1),8MQN3T,"The Bowflex Power Pro Home Gym is a very popular piece of home workout equipment. Bowflex uses long bending rods instead of weights to add resistance to exercise and the Power Pro is a great example of this equipment
In the beginning of using the Bowflex Power Pro Home Gym it would be a good idea to concentrate on doing just a few compound exercises for three sets each and then after a few weeks start to mix it up. One of the things that happens with weight workouts is that your body becomes accustomed to exercises that you are doing and strength gains stop happening so you regularly need to change exercises to keep a certain amount of muscle confusion.
Buy the Bowflex Power Pro now at a ""Black Friday"" discount and start gaining muscle mass through compound exercises on the best equipment.
",bowflex power pro,,,
ObjectId(5a2a5e23e007d23be0ebdcd2),8MQN3T,"ITP:
ITP stands for Internet Telephone Provider, and their name reflects the fact that they offer quality Internet phone service. They earn the #1 slot on this list not just because they offer unlimited calling nationwide with their phone service, but they also give new customers 2 months of free calling as part of their special Fall sale. At only $8.32 monthly, this deal even includes a free mobile VoIP app for smartphones for all-inclusive VoIP service.
Phone Power:
Phone Power's service is a little cheaper at only $5.99 monthly, and includes 60 minutes of free International calling to over 75 countries. Even when the hour is up, International rates with PhonePower are still cheaper than the per-minute rate most traditional phone providers charge for even local calls. Phone Power also guarantee $20.00 off of your internet bill for 3 years registration to their service. 
",internet phone service,,,
ObjectId(5a2a5e23e007d23be0ebdcd3),8MQN3T,"No matter what your budget, high-end wedding can be yours without sacrificing a single iota of style.
Guest List: Invite 100 guests instead of 150 (save on everything). Do the math: If your wedding comes to $100 per person for food and drink, cutting your list from 150 to 100 saves $5,000.
Wedding Style: The less formal the affair, the more affordable. Instead of a sit-down dinner, go for a casual brunch or barbecue. Get rental cars in lieu of limos.
Wedding Invitations: Keep the wedding invitations simple. Remember, top-quality paper, fancy typography techniques and custom-colored inks increase the price, as do decorative envelope linings and multiple enclosures. Choose one fabulous element and keep all the rest simple. Open an event on ""Facebook"", it is a cheaper way to track which of your guests actually coming.",wedding budget calculator,,,
ObjectId(5a2a5e23e007d23be0ebdcd4),YQM8SV,"GPS (Global Positioning System) is a satellite-based navigation system. GPS works in any weather conditions, anywhere in the world, 24 hours a day, with no subscription fees or setup charges. The GPS technology is across diverse markets including aviation, automotive, marine, fitness, outdoor recreation, tracking and mobile apps. The GPS does not require the user to transmit any data, and it operates independently of any telephonic or internet reception. There is a wide variety of GPS and navigation apps such as Waze, CoPilot GPS, Google Maps, Komoot, inRoute Route Planner. They are all free and very useful. Also, you can shop online through a wide selection of GPS navigation, maps and Accessories products at Amazon, eBay, Garmin, BestBuy and etc.",gps,,,
ObjectId(5a2a5e23e007d23be0ebdcd5),YQM8SV,"There are different types of trombone but the most frequently encountered trombones today are the tenor and bass.  If you don't want to spent a lot of money on a new trombone there are variety of options in the market such as used trombones that are in excellent condition and extremely playable. If well cared for, a trombone can be used for many decades. Used trombones can be found in music instrument stores, pawn shops or other resale stores and even in estate or yard sales. The easiest way is to purchase 
a used trombone online in websites such as Amazon, Musician's Friend, Target and etc where they have a big diversity of instruments and the sellers are usually reliable, but this can be more risky of course.",trombone sale,,,
ObjectId(5a2a5e23e007d23be0ebdcd6),YQM8SV,"You can purchase dog cleanup bags online in various of websites such as Amazon, eBay, Target, AliBaba and etc. The steps to use the cleanup bag is first to turn the bag inside out and pick up the dog feces. Turn the bag right side out and tie up the bag. Make sure to tie the bag tightly so that it does not open when you go to throw it away (It may be helpful to hold your breath while tying up the bag). If you search for other alternatives or if you care about the environment, there are plenty of low cost and environmentally friendly alternatives to dog clean bags : you could use old newspapers, spare plastic bags, nappy sacks, or use a pooper-scooper and throw waste directly into the dog waste bin. Also nice alternatives - Poof, The SCOOPEASY, Mutt Mitt, and Flush Puppies.",dog clean bags,,,
ObjectId(5a2a5e23e007d23be0ebdcd7),OA70ED,"BlueHost built its Web hosting management interface around the cPanel control panel, a truly really ugly and utilitarian system that is nonetheless the industry standard today.",website design hosting,,,
ObjectId(5a2a5e23e007d23be0ebdcd8),OA70ED,"Barbados is an island country in the Lesser Antilles, in the Caribbean region of North America. Barbados is 34 kilometers (21 miles) in length and up to 23 km (14 mi) in width, covering an area of 432 km2 (168 sq. mi). Barbados is situated in the western area of the North Atlantic and 100 km (62 mi) east of Windward Islands and the Caribbean Sea; therein, it's about 168 km (104 mi) east of the islands of Saint Vincent and Grenadines and 400 km (250 mi) north-east of Trinidad and Tobago. Barbados is outside the principal Atlantic hurricane belt. Barbados' capital and largest city are Bridgetown. Inhabited by Kalinago people since the 13th century, and prior to that by that other Amerindians, Barbados was visited by Spanish navigators in the late 15th century and claimed for Spanish Crown, It first appeared in a Spanish map in 1511.",barbados,,,
ObjectId(5a2a5e23e007d23be0ebdcd9),OA70ED,"Technical Writing:
Description: This position often involves creating or editing technical papers or manuals.
Requirements: This position often requires that the individual has a basic understanding of the subject being written about and have good writing skills.
Knowledge in: analysis, developing understanding, generating algorithms.
Programmer or Software developer:
Description: A job that requires the development or continued development and maintenance of a software program.
Requirements: A basic to an extensive understanding of a programming language. Because most job positions require help develop a program, they require several years of experience or a degree.
Security expert:
Description: Test and find vulnerabilities in a system, hardware device, or software program.
Requirements: This position is for whom who has a familiarity with how software, hardware, and networks work and how to exploit them. Often, you need to have a good understanding of how the overall system works as well as good programming skills.
",computer programming,,,
ObjectId(5a2a5e23e007d23be0ebdcda),8EF5WZ,"A mobile phone (cell phone, cellular telephone) in North America, is a portable telephone that can make and receive calls over a radio frequency link while the user is moving within a telephone service area. The radio frequency link establishes a connection to the switching systems of a mobile phone operator, which provides access to the public switched telephone network (PSTN). Modern mobile telephone services use a cellular network architecture, and, therefore, mobile telephones are called cellular telephones or cell phones, in North America. In addition to telephony, phones support a variety of other services, such as text messaging, MMS, email, Internet access, short-range wireless communications (infrared, Bluetooth, 4G LTE), business applications, video games, and digital photography. Mobile phones offering only those capabilities are known as feature phones; mobile phones which offer greatly advanced computing capabilities are referred as smartphones.",cell phones,,,
ObjectId(5a2a5e23e007d23be0ebdcdb),8EF5WZ,"Whether you're planning to stay for a night or for the week, the area around New York has accommodations to fit every need. Search for hotels in New York with Hotels.com by checking our online map. Our maps display the areas and neighbourhoods around all New York hotels, so you can see how close you are from landmarks and attractions, and then refine your search within the larger area. The best New York hotel deals are here with our lowest price guarantee.
New York City offers a wide range of accommodations to fit every taste: marquee hotels that reflect NYC bright lights, boutique hotels tucked away on charming side streets, family friendly stays close to parks and greenery. Whether you looking to visit nearby attractions, explore NYC history, these hotels will make New York City your home away from home
",newyork hotels,,,
ObjectId(5a2a5e23e007d23be0ebdcdc),8EF5WZ,"The home should be a comfortable place to live, no matter its size. Resource Furniture offers a range of creative solutions for studio apartments, micro homes and other compact living spaces. Ideal for everyone from students to upscale urban professionals, our space-saving furniture is smart, stylish and forward-thinking.
The Benefit of Our Space-Saving Products No matter where you are in life, there are clear benefits to making the most of your existing space. With our space-saving furniture, you can: Stretch your housing budget further (too often, city dwellers have to trade location for size, or vice versa), reduce clutter (Enjoy true, open concept living with furniture that folds when not in use), enjoy greater flexibility, minimize your impact
Smart Furniture for All Stages of Life - Who can benefit from our space-saving modern furniture? City dwelling professionals, Growing families, Retirees",furniture small spaces,,,
ObjectId(5a2a5e23e007d23be0ebdcdd),SQ9LIK,"Are you tired of paying high prices for auto parts? We proudly supply any used car parts for any vehicle with high quality and low prices. We make finding the right parts easy. We have a convenient search engine that allows you to look for specific recycled parts or systems. All you have to do is enter the used part you are looking for along with details about your car like make, model and year. All of our recycled car parts are cleaned, tested and covered by a guarantee. We takes pride in providing you with the great used auto parts that you need. Whether you have an older foreign car or a newer domestic car, you can find the right engine, assemblies and other hard to find parts. You will be provided with several options to choose from, and they will all be a great match for your car.
",car parts,,,
ObjectId(5a2a5e23e007d23be0ebdcde),SQ9LIK,"Your chances of getting a job as computer programmer will be better if you earn a bachelor's degree in computer science. Some employers will hire you if you have a degree in another subject as long as you have taken computer science classes. Once you are working in the field, you will have to keep your skills up-to-date by learning new programming languages. Certifications in various programming languages may be beneficial. This career is suitable for people who have interests, personality type, and work related values. After a developer creates a basic software program, a programmer creates the instructions, or code, to make that program function. Programmers create software to be run on personal computers or automated systems in manufacturing. Once a program is functional, programmers are responsible for testing for bugs and installing updates. Programmers also design the user interface, which is the program part that consumers interact with.",computer programming,,,
ObjectId(5a2a5e23e007d23be0ebdcdf),SQ9LIK,"Toilets are pretty trouble plumbing fixtures. Although the water-supply valves, flush valves, and wax ring that seals the toilet to the floor all may fail and need to be replaced from time to time, unless the bowl or tank become cracked. Nevertheless, you may want to replace your toilet, either for purely aesthetic reasons, such as when remodeling a bathroom or for new water-saving features available on modern toilet designs. Replacing a toilet yourself can seem like an intimidating job, but you need to know what kind of options you have when purchasing a replacement toilet. Setting a toilet onto the new bolts, for example, can be the most frustrating part of the whole installation, because you risk crushing or shifting the wax ring. The best approach is to buy a new toilet or call to a profession plumber to repair your toilet or even to install a new one.
",toilet,,,
ObjectId(5a2a5e23e007d23be0ebdce0),JCXWDJ,"""Toilets are sanitation facilities at the user interface that allow safe and convenient urination and defecation"" , collection or disposal of human urine and feces.
Unless you buy one of the sleek, one-piece models, you'll have to buy both a bowl and a tank. They'll come in separate boxes. Have a Lowe's customer service associate help you ensure they match. Almost any tank you purchase will come with the flush-valve assembly already installed, it never hurts to check this as well. In addition, you'll need new closet bolts, wax gasket, and toilet seat if these aren't included. There are complete kits that include the tank, bowl, wax ring and a hardware kit.
If you plan to replace the supply line, flexible ones encased in stainless-steel mesh are strong, attractive, very convenient. Less expensive plastic supply lines also available if cost is a concern and your local codes allow them.

",toilet,,,
