_id,username,posted_document,description,query,this_document_is_gold,this_document_is_gold_reason,_golden
ObjectId(59f97bcde007d239e50a4f8e),XRN1VX,"
Unless you buy one of the sleek, new one-piece models, you'll have to buy both a bowl and a tank. They'll come in two separate boxes. Have a Lowe's customer service associate help you ensure the two components match. Almost any tank you purchase will come with the flush-valve assembly already installed, but it never hurts to check this as well. In addition, you'll need new closet bolts, a wax gasket, and a toilet seat if these aren't included. There are complete kits that include the tank, bowl, wax ring and a hardware kit.
If you plan to replace the supply line, the flexible ones encased in stainless-steel mesh are strong, attractive, and very convenient. Less expensive plastic supply lines are also available if cost is a concern and your local codes allow them.
"," Find information on buying, installing, and repairing
  toilets.",toilet,,,
ObjectId(59f97bcde007d239e50a4f8f),XRN1VX,"
This paper compares the precision and accuracy of five current global positioning system (GPS) receivers—Trimble ProXR, Trimble GeoXT without WAAS, Trimble GeoXT with WAAS, Trimble GeoExplorer II, and an HP/Pharos receiver. Each of these receivers, along with other similar units, are 
frequently used today for data collection and integration within a geographic information system (GIS).  
To compare receivers, we conducted a field study of 15 established survey markers in the City of Pocatello, Idaho. The points were observed on ten different dates with equivalent settings (e.g., averaging and acceptable point dilution of precision—PDOP). Overall, the results indicate that the GeoXT is well suited where sub-meter accuracy is required while the Pharos receiver is a viable alternative for applications with accuracy requirements of +/- 10m and more
","I'm looking for information about and comparisons of
  GPS receivers.",gps,,,
ObjectId(59f97bcde007d239e50a4f90),3EQ02Q,"The coral island of Barbados is located at the Caribbean Sea in North America. Even though There's only one airport in Barbados- Grantley Adams International Airport, the island is a highly recommended tourism destination. Bridgetown is the capital of Barbados and The main attractions are Hunte's Garden, Carlisle Bay, Batsheba Beach, Harrison's Cave, Arlington House Museum and more. A general information about Barbados: The currency in the island is Barbadian Dollar, the official language is English and Bajan Creole and the majority of the people are Christians. Lately, on September 2017 the hurricane Irma struck Barbados and other islands in the Caribbean Sea and caused a severe damage. Barbados is seen by most scientists as geologically unique as the island was formed as a result of volcanic amalgamation. If you are looking for vacation in Barbados you can find some luxury resorts in a fair price.","
     Find information on Barbados history.",barbados,,,
ObjectId(59f97bcde007d239e50a4f91),3EQ02Q,"The Sony's PlayStation 2 (PS2) was published at 2000 as a TV games console and since then, even after the arrival of PS3 and PS4, PS2 remained one of the most popular games consoles in history of video games. Today, you can download some old PS2 games to your own computer, find cheats to approximately every single game and have a forums to discuss your favorites games with some other players around the world. Since Sony's PS2 is so popular, many gamers have discussions about the ranking of the best video games that ever made in this console. In every ranking list that had made by addicted gamers carrying titles such as ""Top PS2 games ever"" you can find some very famous games like GTA (Grand Theft Auto) series games, God of War, The annually  FIFA and NBA and so on.","Find information, reviews, and cheat codes for
  Playstation 2 games.",ps 2 games,,,
ObjectId(59f97bcde007d239e50a4f92),3EQ02Q,"Dieting doesn't always means loosing weight on the long term. sometimes when people try to loose weight with some instant diet method they actually get unwanted results. According to many researches loosing a lot of weight in a short period eventually lead to gaining more weight then before. The field of dieting is flourishing in the last decades duo to the increasing awareness of the importance of buddy health and the connection between it and nutrition. Few famous examples for dieting types are low-fat, low-carbohydrate, low calorie and more. Many articles on the web pretend to advice people and suggest ways to lose weight easily in a short time. You better not believe any buzz title you see such as""12 rules of dieting"" and instead, consult an expert dietitian.
","
    Find ""reasonable"" dieting advice, that is not fads or medications
    but reasonable methods for weight loss.",dieting,,,
ObjectId(59f97bcde007d239e50a4f93),41S8KU,"You might think that it is impossible to find an inexpensive hotel room in NYC. However, believe it or not, one can find great budget accommodation, in a comfortable, clean room, in a prime location in New York.
Here is out best ideas of where to find cheap hotel rooms in the NYC:
1. Check the hotel websites for promotions and coupons
2. One may find great hotel room bargains around Manhattan and Queens through trip advisor.
3. Take advantage of trip advisor 
4. Opt for couch surfing
5. Opt for a hostel rather than a hotel room
6. Ask for a discount
7. Turn to local guidebooks
8. Stay in a bed and breakfast hotel.
","
    Find inexpensive hotels in New York City.",newyork hotels,,,
ObjectId(59f97bcde007d239e50a4f94),41S8KU,"The hoof is a complex grouping of sensitive and insensitive structures, all of which must be kept healthy and undamaged if the horse is to stay sound. 
As a horse owner, one major responsibility is making sure that each horse's hooves and lower limbs are frequently checked for injury, damage, disease or any condition that might affect the soundness of the horse.
Knowledge of the anatomy of the horse's foot including the hoof and all its internal structures is of paramount importance in being able to assess the condition of the horse's lower limbs and feet.
Damage and injury are usually evidenced by lameness, wounds, lacerations or abrasions, cracks in hoof wall, tenderness to the touch, or other visual clues.
On the other hand, some hoof diseases and conditions such as navicular disease, puncture wounds may develop undiscovered for a period of time.","
    Find information about horse hooves, their care, and diseases of hooves.",horse hooves,,,
ObjectId(59f97bcde007d239e50a4f95),41S8KU,"The Harvard business school  now offers a unique GMAT (Graduate Management Admission Test) preparation course to best help you get admitted into the best MBA programs and business school programs worldwide. 
The GMAT prep class may be taken as a self-paced, online or workshop (instructor led) format. All include free prep resources, real practice exams simulated at a Pearson VUE testing center, and questions similar to Kaplan's. It also offers comprehensive math and english reviews as well as GMAT exam strategy review.
This course is based on the excellent results of students undertaking the Technion's GRE PREP exam.
","I'm looking for information to help me prepare for the
  GMAT exam.",gmat prep classes,,,
ObjectId(59f97bcde007d239e50a4f96),3AP15F,"Pressure washers in a range of different sizes, configurations and horsepowers  can be found at Tractor Supply. We carry cold water residential pressure washers in in sizes that can handle any project on your list - from 1700 PSI at 1.8 GPM all the way up to 4200 PSI at 4.0 GPM. And commercial hot water pressure washers units that can handle even the toughest jobs. All in addition to replacement and extension hoses, quick disconnect adapters, spray guns and nozzles, pressure regulators and crankcase oil. Not to mention a wide range of spray tips and power wash concentrates.","
    Where can I buy replacement parts for pressure washers?",pressure washers,,,
ObjectId(59f97bcde007d239e50a4f97),3AP15F,"There are many ways to buy new or used Trombones or other music instrument.
New trombones and other music instruments can be mostly found in online stores such as ebay, Amazon and other online shops. 
Used music instruments such as Trombones can be found mostly on music instrument stores, pawn shops, yard sales and even in a local newspaper.
One of the best stores to buy new or used trombones is BuyTrombone.com
In there you can find used Trombones that are in excellent condition and extremely playable. Other musical instruments can be bought there. 
If well cared for, a trombone can be used for many decades. Trombones, especially those which are not technically vintage, but simply have had a prior owner, can be much less expensive than new trombones and play just as well.
Buying a used trombone online can be risky. Many individual sellers will not accept returns.
","
    information on where I could buy a new or used trombone",trombone sale,,,
ObjectId(59f97bcde007d239e50a4f98),3AP15F,"Solar panels absorb the sunlight as a source of energy to generate electricity or heat.
Grid-connected solar photovoltaics (PV) is the fastest growing energy technology in the world, with 50% annual increases in cumulative installed capacity in 2006 and 2007, to an estimated 7.7 GW. This translates into 1.5 million homes with rooftop photovoltaics feeding into the electricity grid worldwide. The most common application of solar panels is solar water heating systems. During 2007, investment in new solar photovoltaic manufacturing facilities was strong in Europe, Japan, China, Taiwan and the United States, with many new operations reported. Since October 2009, the Canadian province of Ontario is currently leading the way in North America with this comprehensive renewable energy incentive using solar panels.
Photovoltaics companies include PV capital equipment producers, cell manufacturers, solar panel manufacturers and installers. The list does not include silicon manufacturing companies.
","Find information about solar panels and companies that
  manufacture them.",solar panels,,,
ObjectId(59f97bcde007d239e50a4f99),DVCADA,"These days, when cellphones are almost a basic commodity, we are all customers of one of several cellular service provider companies. The biggest provider in the United States, Verizon Wireless, operates a robust and far-reaching 4G LTE network and offers a strong lineup of smartphones, feature phones, and basic handsets. As a cellular company, they offer several wireless plans according to your needs, from fixed prepaid plans to plans with a monthly varying price that include unlimited text and voice calls for multiple phones. Verizon operates GSM based networks and offers the greatest network coverage in the United states, as well as international cellular coverage around the world. Besides cellular services, Verizon sells many cell phones and smartphones from numerous manufacturers including Samsung, Apple, etc. One can also purchase a cell phone in one of the manufacturer's official stores or any other store that sells smartphones, as well as online.","Find information about cell phones and cellular
  service providers.",cell phones,,,
ObjectId(59f97bcde007d239e50a4f9a),DVCADA,"When purchasing a trombone, you should decide if you prefer a new or used instrument. 

There are many used trombones in excellent condition that can be found in a variety of locations. Try looking in music instrument stores in the used section. You might also find a trombone in pawn shops or other resale stores, sometimes at estate or yard sales. Online you can easily purchase a used trombone from an individual seller through many shopping websites such as eBay, amazon, etc.  If you decide to buy online, be sure to ask about the condition of the trombone and its moving parts which are vital when playing the instrument. 

New trombones can be found in music instrument stores that sell brass instruments, and online in music seller websites. Purchasing a new trombone will probably be more expensive but the quality is guaranteed.

","
    information on where I could buy a new or used trombone",trombone sale,,,
ObjectId(59f97bcde007d239e50a4f9b),DVCADA,"Pressure washing, or power washing is your solution if you need to remove any kind of dirt from any surface type. Pressure washers are commonly used to remove loose paint, grime, mud and dirt from buildings, vehicles and concrete surfaces. There is a great variety of pressure washers in different sizes and water pressure levels, from as low as 5,000 psi (34 MPa) for small cleaning jobs, and up to 25,000 psi (170 MPa) for industrial cleaning applications. Pressure washers differ by the type of fuel/energy they consume - electric, diesel, gas or hydraulic high pressure. With the appropriate adapter, most pressure washers can connect to an external water source, like a garden hose. The most popular pressure washer replacement parts include pumps, adapters, extension hoses, pressure regulators and spray tips. These replacement parts can be found in home retail stores or online in websites that specialize in power washing. 
","
    Where can I buy replacement parts for pressure washers?",pressure washers,,,
ObjectId(59f97bcde007d239e50a4f9c),QUGXT8,"The island of Barbados in the Lesser Antilles which became an independent in 1966. Barbados is situated in the Caribbean region of North America - the western area of the North Atlantic Ocean and 100 kilometres east of the Windward Islands and the Caribbean Sea. The capital of Barbados is Bridgetown, 95% of the population is christian and official languages are English and Bajan Creole and the official currency of Barbados is Barbadian Dollar..
Close to 90% of all Barbadians are of Afro-Caribbean descent and mixed-descent. The remainder of the population includes groups of Europeans mainly from the United Kingdom and Ireland. 
Barbados is considered by most scientists as geologically unique as it was formed as a result of an amalgamation of two land masses over a period of approximately 1,000 years. 
Lately, on September 2017 the hurricane Irma struck Barbados and other islands in the Caribbean and caused a severe damage.","
     Find information on Barbados history.",barbados,,,
ObjectId(59f97bcde007d239e50a4f9d),QUGXT8,"Here are huge strategies and awsome tips for calculationg wedding budget:
1. Cut off your guest list: Invite 100 guests instead of 150. Do the math - If your wedding comes to $100 per person for food and drink, cutting your list from 150 to 100 saves $5,000 off your wedding budget.
2. The less formal the affair, the more affordable. Instead of a sit-down dinner, go for a casual brunch or barbecue. 
3.As far as wedding Invitations: Keep them simple. Remember, top-quality paper, fancy typography techniques and custom-colored inks increase the price, but not necessarily worth the extra money. Use response postcards or make save-the-date cards yourself. To keep postage costs down, stay away from oversize or overweight styles.
 Here is a basic breakdown of the calculation: Reception: 48-50%, Ceremony: 2-3%, Attire: 8-10%, Flowers: 8-10%, Photography/Videography: 10-12%, Miscellaneous: 8%, Transportation: 2-3%.","I'm looking for information on planning and budgeting
  for a wedding.",wedding budget calculator,,,
ObjectId(59f97bcde007d239e50a4f9e),QUGXT8,"Computer programming is a process that leads from an original formulation of a computing problem to executable computer programs. 
Programming involves activities such as analysis, developing, generating algorithms, verification of requirements of algorithms, and implementation of algorithms.
The purpose of programming is to find a sequence of instructions that will automate performing a specific task or solving a given problem.
Different programming languages support different styles of programming. The choice of language used is subject to many considerations, such as company policy,
suitability to task, availability of third-party packages, or individual preference. Ideally, the programming language best suited for the task at hand will be selected.
Languages form an approximate spectrum from ""low-level"" to ""high-level""; ""low-level"" languages are more machine-oriented and faster to execute, whereas ""high-level"" languages are more abstract and easier to use but execute less quickly.
C, C++, Java, Ruby, Python and more are examples for computer programming languages.","
    What type of careers are there for computer programmers?",computer programming,,,
ObjectId(59f97bcde007d239e50a4f9f),CLQLJE,"Barbados is an island country in the Lesser Antilles, in the Caribbean region of North America, and is situated in the western area of the North Atlantic Ocean and 100 kilometres east of the Windward Islands and the Caribbean Sea. It is about 168 km east of the islands of Saint Vincent and the Grenadines and 400 km north-east of Trinidad and Tobago. Barbados is outside the principal Atlantic hurricane belt. Its capital and largest city is Bridgetown.
The island is seen by most scientists as geologically unique as it was formed as a result of an amalgamation of two land masses over a period of many years. The peaceful Arawaks and the more ferocious Caribs were the first inhabitants of Barbados. However, when English Captain, John Powell arrived in 1625 to Barbados, the island was uninhabited and as a result he claimed Barbados for King James I of England.","
     Find information on Barbados history.",barbados,,,
ObjectId(59f97bcde007d239e50a4fa0),V0C3W0,"The Scholastic Aptitude Test and SAT Subject Tests are designed to assess your academic readiness for college. These SAT exams provide a path to opportunities, financial support, and scholarships, in a fair way for all students. 
The SAT is a globally recognized college admission test. The SAT exam measures the skills required for success,  you can learn what it tests and how you can best prepare for this exam. SAT Subject Tests can complement  your college admission credentials. The SAT and other College Board tests are offered several times a year. SAT is a great opportunity for all and SAT should be more popular. Most students take the SAT for the first time during their junior year and a second time during their senior year.


","
    Find information on taking the SAT college entrance exam.",sat,,,
ObjectId(59f97bcde007d239e50a4fa1),V0C3W0,"If you want to buy a trombone, you need to decide if you want a used or a new trombone.Trombones sales exist all over the world and the sales can be at very different prices depending on the characteristics of the instrument. Trombones sales take place in music shops that sell instruments, at  resale stores and at estate or yard sales. You can purchase used trombones from sellers through shopping websites. And new instruments are sold in music stores and on online instrument websites. You should be careful on the choice of your trombone, especially if you buy it second hand, even if there are many used trombones that are in excellent condition and extremely playable. Trombones sales are not very popular and it can be hard to find the instrument your are searching for. Buying a new trombone is a lot more sure but more expensive.","
    information on where I could buy a new or used trombone",trombone sale,,,
ObjectId(59f97bcde007d239e50a4fa2),8MQN3T,"There are alot of different hobbies such as building rail road and train models or even playing a guitar. We invite you to one of our store branches in order to help you pick the hobby best suited for you. You can find our shops all over the US so come in buy one and have fun already.
We provide down below our list of hobbies that we sell in our stores and of course list and an easy to search map of all our stores.","
     What hobby stores carry trains?",hobby stores,,,
ObjectId(59f97bcde007d239e50a4fa3),8MQN3T,"The SAT and SAT Subject Tests are designed to assess your academic readiness for college. The SAT and SAT Subject Tests keep pace with what colleges are looking for today, measuring the skills required for success in the 21st century.
The SAT is a globally recognized college admission test.
At our SAT preparation course you will learn what it tests and how you can best prepare.
When's the Best Time to Take the SAT?
The SAT and other College Board tests are offered several times a year. Most students take the SAT for the first time during the spring of their junior year and a second time during the fall of their senior year.
","
    Find information on taking the SAT college entrance exam.",sat,,,
ObjectId(59f97bcde007d239e50a4fa4),8MQN3T,"PokerStars hosts the biggest guaranteed online poker tournament in the virtual universe every Sunday, it is called the Sunday Million!. Every week the highlights of the Sunday Million are available on PokerStars.tv.
If you want the most bang for your buck and the biggest opportunity to win the biggest payday of the week, playing the Sunday Million is a must.
The buy-in is $215, but this week PokerStars has a special on the Sunday Million Team Online host who just happens to be Mickey 'mement_mori' Petersen, knock him out and you collect a bounty that gives you back your $215 buy-in.
So get in and show them you know how to play!
","I want to find information about live and online poker
  tournaments.",poker tournaments,,,
ObjectId(59f97bcde007d239e50a4fa5),YQM8SV,"Elliptical trainer or cross-trainer is a stationary exercise machine used to simulate stair climbing, walking, or running without causing excessive pressure to the joints, hence decreasing the risk of impact injuries. For this reason, people with some injuries can use an elliptical to stay fit, as the low impact affects them little. Elliptical trainers offer a workout that can vary from light to high intensity based on the speed of the exercise and the resistance preference set by the user. You'll find plenty of choices in elliptical trainers at the stores or online. If you like to have all the bells and whistles, you can choose machines with features such as LED or LCD display, heart rate monitor and music player. Some elliptical machines even offer internet browsing. There are two main types of elliptical machines available: rear-drive and frontdrive, Most users tend to prefer rear-drive elliptical machines",Find information about elliptical trainer machines.,elliptical trainer,,,
ObjectId(59f97bcde007d239e50a4fa6),YQM8SV,"You can purchase dog cleanup bags online in various of websites such as Amazon, eBay, Target, AliBaba and etc. The steps to use the cleanup bag is first to turn the bag inside out and pick up the dog feces. Turn the bag right side out and tie up the bag. Make sure to tie the bag tightly so that it does not open when you go to throw it away (It may be helpful to hold your breath while tying up the bag). If you search for other alternatives or if you care about the environment, there are plenty of low cost and environmentally friendly alternatives to dog clean bags : you could use old newspapers, spare plastic bags, nappy sacks, or use a pooper-scooper and throw waste directly into the dog waste bin. Also nice alternatives - Poof, The SCOOPEASY, Mutt Mitt, and Flush Puppies.","
     Can I order dog clean-up bags online?",dog clean bags,,,
ObjectId(59f97bcde007d239e50a4fa7),YQM8SV,"Best Ways to Make Free Internet Phone Calls: To make a free call using an internet phone, you might have to download free phone call software or use a softphone from the provider website.
1. Google Voice is the very best way to make free internet phone calls. With Google Voice, you can make free calls to an actual phone number, PC to PC calls, and free PC to phone calls. 
2. FreedomPop acts as an app to app and app to phone service. You're able to call real telephones, like landlines and other mobile phones, anywhere in the US even if they don't have the app on their phone.
3.WeChat is a mobile app with lots of features. It works with iPhone, iPod touch, iPad, Android, Windows Phone, and Nokia devices. You can make free phone calls, but you can only do so if the recipients have the app installed
","
    What is the best internet phone service?",internet phone service,,,
ObjectId(59f97bcde007d239e50a4fa8),OA70ED,"This is a list of notable photovoltaics (PV) solar companies.
Grid-connected solar photovoltaics (PV) is the fastest growing energy technology in the world, with 50% annual increases in cumulative installed capacity in 2006 and 2007, to an estimated 7.7 GW. 
This translates into 1.5 million homes with solar rooftop photovoltaics feeding into the electricity grid worldwide. A typical solar photovoltaic system employs solar panels. During 2007, investment in new solar photovoltaic manufacturing facilities was strong in Europe, Japan, China, Taiwan and the United States, with many new operations reported. Since October 2009, the Canadian province of Ontario has had vast success with the implementation of their feed-in tariff incentive for grid-connected solar photovoltaic systems. Ontario is currently leading the way in North America with this comprehensive renewable energy incentive. Photovoltaics companies include PV capital equipment producers, cell manufacturers, panel manufacturers and installers. The list does not include silicon manufacturing companies.","Find information about solar panels and companies that
  manufacture them.",solar panels,,,
ObjectId(59f97bcde007d239e50a4fa9),OA70ED,"BE A PART OF THE EXCITEMENT!
Get your game on at the best casino in town - French Lick Casino, a 51,000-square-foot Vegas-style gaming facility all on one floor with soaring 27-foot ceilings. On our gaming floor, you can play to win a brand new car on slot machines or a progressive jackpot at out table games. You'll find live-action blackjack, roulette, craps, and other table games, a luxurious high limit room and Indiana's largest non-smoking room. Bring a group of friends and enjoy the live entertainment lounge. Here's a little of what you'll find at the French Lick Casino: 1,000 new and classic Slots, video poker, progressive jackpots and video keno of all denominations and themes. 37 table games featuring Blackjack, Craps, Roulette, Texas Hold'em, 3-Card-Poker and more. A 10,000 square foot unparalleled gaming room with lite table games and the latest slots.","Find information on French Lick Resort and Casino in
  Indiana.",french lick resort casino,,,
ObjectId(59f97bcde007d239e50a4faa),OA70ED,"Home gyms from brands like Bowflex, Body-Solid, Total Gym, and Marcy are an extremely popular way to skyrocket overall fitness and feel great while targeting almost every muscle group for anything from muscle building to weight loss. 
The Bowflex Power Pro Home Gym is a very popular piece of home gyms, same like the brands Body-Solid, Total Gym, and Marcy. Gaining Overall fitness and feel great while targeting almost every muscle group for anything from muscle building to weight loss.
The prices for Bowflex are 449-669$, while Bayou Fitness Total Trainer DLX-III Home Gym costs about the same (589$), and Total Gym Exercise Machine is the cheapest brand (350$).
concentrate on doing just a few compound exercises for three sets each and then after a few weeks start to change it to a new set of exercise. ","
    Find information about the Bowflex Power Pro.",bowflex power pro,,,
ObjectId(59f97bcde007d239e50a4fab),8EF5WZ,"Pressure washing, or power washing is the use of high-pressure water spray to remove loose paint, mild, grime, dust, mud, chewing gum and dirt from surfaces and objects such as buildings, vehicles and concrete surfaces. The volume of a mechanical pressure washer is expressed in gallons or litres per minute, often designed into the pump and not variable. The pressure, expressed in pounds per square inch, pascals, or bar, is designed into the pump but can be varied by adjusting the unloader valve. Machines that produce pressures from 750 to 30,000 psi (5 to 200 MPa) or more available.
At extreme high pressure, water is used in many industrial cleaning applications requiring the removal of surface layers and for dust-free cutting of some metals and concrete.
Most pressure washers nowadays connect to an existing water supply, like a garden hose.","
    Where can I buy replacement parts for pressure washers?",pressure washers,,,
ObjectId(59f97bcde007d239e50a4fac),8EF5WZ,"Computer programming (often shortened to programming) is a process that leads from an original formulation of a computing problem to executable computer programs. Programming involves activities such as analysis, developing understanding, generating algorithms, verification of requirements of algorithms including their correctness and resources consumption, and implementation (commonly referred to as coding) of algorithms in a target programming language. Source code is written in one or more programming languages. The purpose of programming is to find a sequence of instructions that will automate performing a specific task or solving a given problem. The process of programming thus often requires expertise in many different subjects, including knowledge of the application domain, specialized algorithms, and formal logic. 
Different programming languages support different styles of programming (programming paradigms).
Computer programmers have a full understanding of the how and why of computer systems works.
","
    What type of careers are there for computer programmers?",computer programming,,,
ObjectId(59f97bcde007d239e50a4fad),8EF5WZ,"No matter what your budget, a chic, high-end wedding can be yours without sacrificing a single iota of style. Guest List: Invite 100 guests instead of 150 (BE CHEAP). Estimate the cost: If your wedding comes to $100 per person for food and drink, cutting your list from 150 to 100 saves $5000. Wedding Style: The less formal the affair, the more affordable. Sit down dinner? No! go for a casual brunch or barbecue. Wedding Invitations: Keep the wedding invitations light and simple. Remember, top-quality paper, fancy typography techniques and custom coloured inks increase the price, as do decorative envelope linings and multiple enclosures. Choose one fabulous element and keep all the rest simple. Use response postcards or make save-the-date cards yourself. To keep postage costs down, stay away from oversized or overweight styles. Use our free wedding expenses spreadsheet","I'm looking for information on planning and budgeting
  for a wedding.",wedding budget calculator,,,
